word	lemma	gloss	label	overlap_score	context	target_index
absorb	*absorb%2:31:00::	take up mentally	metaphorical	0.3	Besides , it 's important to the way a painter thinks that he should move in a certain atmosphere , an atmosphere in which he may [absorb] the ideas of other masters , as Durer went to Italy to meet Bellini and Mantegna '' .	26
absorb	*absorb%2:31:00::	take up mentally	metaphorical	0.3	In the more primitive areas , where the capacity to [absorb] and utilize external assistance is limited , some activities may be of such obvious priority that we may decide to support them before a well worked out program is available .	10
absorb	*absorb%2:31:00::	take up mentally	metaphorical	0.3	The former secretary of labor said he was proud to be an Eisenhower Republican `` and proud to have [absorbed] his philosophy '' while working in his adminstration .	19
absorb	*absorb%2:31:00::	take up mentally	metaphorical	0.3	We must not permit our society to become a slave to the scientific age , as might well happen without the cultural and spiritual restraint that comes from the development of the human mind through wisdom [absorbed] from the written word .	36
absorb	*absorb%2:31:00::	take up mentally	metaphorical	0.3	Since the goal of our international planners is a World Government , this Atlantic Community would mark a giant step in that direction for , once American economic autonomy is [absorbed] , a larger grouping is a question of time .	30
absorb	absorb%2:35:01::	become imbued	literal	_	Not so obvious to her , but of more importance to her teachers , Helva ingested the precepts of her conditioning as easily as she [absorbed] her nutrient fluid .	25
absorb	absorb%2:35:00::	take in, also metaphorically	literal	_	`` If I could only think of something at the studio , near me , to [absorb] his boundless energy '' , I said .	15
absorb	absorb%2:35:01::	become imbued	literal	_	The photochemical exchange occurs with a quantum yield of the order of unity in the liquid phase at 65 ` using light [absorbed] only by the * * f .	21
absorb	absorb%2:35:01::	become imbued	literal	_	The light was filtered by the soft glass window of the thermostat thus ensuring that only light [absorbed] by the chlorine and not by the carbon tetrachloride could enter the reaction cell .	16
adhere	*adhere%2:42:00::	be compatible or in accordance with	metaphorical	0.6	Durkheim noted long ago that religion as `` a unified system of beliefs and practices relative to sacred things - unite [ s ] into one single moral community - all those who [adhere] to them '' .	32
adhere	*adhere%2:42:00::	be compatible or in accordance with	metaphorical	0.6	Mr. Cunningham tries not to cheat the chance method ; he [adheres] to its dictates as faithfully as he can .	11
adhere	*adhere%2:42:00::	be compatible or in accordance with	metaphorical	0.6	The dead controlled the material prosperity of the living , and the living [adhered] to strict codes of conduct in order not to weaken that control .	13
adhere	*adhere%2:42:00::	be compatible or in accordance with	metaphorical	0.6	The United Nations Charter sets forth standards which , if [adhered] to , will promote peace and justice throughout the world .	9
adhere	*adhere%2:42:00::	be compatible or in accordance with	metaphorical	0.6	It was predicted that Kohnstamm-negative subjects would [adhere] to more liberal , concretistic reports of what the ambiguous figure `` looked like '' as reflecting their hesitancy about taking chances .	7
adhere	adhere%2:30:00::	follow through or carry out a plan without deviation	literal	_	This objective is [adhered] to throughout the duration of the action .	3
adhere	adhere%2:30:00::	follow through or carry out a plan without deviation	literal	_	If Bultmann 's own definition of myth is strictly [adhered] to ( and it is interesting that this is almost never done by those who make such pronouncements ) , the evidence is overwhelming that he does not at all exaggerate the extent to which the mythological concepts of traditional theology have become incredible and irrelevant .	9
adhere	adhere%2:30:00::	follow through or carry out a plan without deviation	literal	_	An examination of some forty catalogs of schools offering courses in interior design , for the most part schools accredited by membership in the National Association of Schools of Art , and a further `` on the spot '' inspection of a number of schools , show their courses [adhere] pretty closely to the recommendations .	38
aim	*aim%2:31:01::	propose or intend	metaphorical	0.30952380952380953	[Aim] to balance your employee benefit package .	0
aim	*aim%2:31:01::	propose or intend	metaphorical	0.30952380952380953	The artist , unlike the philosopher , is not a removed observer [aiming] at neutral and rarified high levels of abstraction .	12
aim	*aim%2:31:01::	propose or intend	metaphorical	0.30952380952380953	These differences in turn result from the fact that my Yokuts vocabularies were built up of terms selected mainly to insure unambiguity of English meaning between illiterate informants and myself , within a compact and uniform territorial area , but that Hoijer 's vocabulary is based on Swadesh 's second glottochronological list which [aims] at eliminating all items which might be culturally or geographically determined .	51
aim	*aim%2:31:01::	propose or intend	metaphorical	0.30952380952380953	I [aim] to keep a little whisky still back in the ridge for my pleasure '' .	1
aim	*aim%2:31:01::	propose or intend	metaphorical	0.30952380952380953	This includes not only development programing , but also establishing tax policies designed to raise equitably resources for investment ; fiscal and monetary policies designed to prevent serious inflation ; and regulatory policies [aimed] to attract the financial and managerial resources of foreign investment and to prevent excessive luxury consumption by a few .	33
aim	*aim%2:31:01::	propose or intend	metaphorical	0.30952380952380953	Public-spirited backers staked him to a brand-new airplane , [aimed] at putting their city and state on the flying map .	9
aim	*aim%2:31:01::	propose or intend	metaphorical	0.30952380952380953	Early Chinese anchoritism was theoretically [aimed] at a mystic pantheist union with the divine , personal salvation being achieved when the mystical recluse united with divine essence .	5
aim	aim%2:33:00::	point or cause to go (blows, weapons, or objects such as photographic equipment) towards	literal	_	In the supernatural atmosphere of cosmic government , only the ruling elite was ever concerned with a kingdom-wide ordering of nature : popular religion [aimed] at more personal benefits from magical powers .	24
aim	aim%2:32:09::	move into a desired direction of discourse	literal	_	William Wimsatt and Cleanth Brooks , it seems to me , have a penetrating insight into the way in which this control is effected : `` For if we say poetry is to talk of beauty and love ( and yet not aim at exciting erotic emotion or even an emotion of Platonic esteem ) and if it is to talk of anger and murder ( and yet not [aim] at arousing anger and indignation ) - then it may be that the poetic way of dealing with these emotions will not be any kind of intensification , compounding , or magnification , or any direct assault upon the affections at all .	67
aim	aim%2:31:00::	have an ambitious plan or a lofty goal	literal	_	An attempt to improve the life of the anodes or the efficiency of the plasma generators must , therefore , [aim] at a reduction of the anode loss .	20
aim	aim%2:32:09::	move into a desired direction of discourse	literal	_	William Wimsatt and Cleanth Brooks , it seems to me , have a penetrating insight into the way in which this control is effected : `` For if we say poetry is to talk of beauty and love ( and yet not [aim] at exciting erotic emotion or even an emotion of Platonic esteem ) and if it is to talk of anger and murder ( and yet not aim at arousing anger and indignation ) - then it may be that the poetic way of dealing with these emotions will not be any kind of intensification , compounding , or magnification , or any direct assault upon the affections at all .	40
aim	aim%2:31:02::	specifically design a product, event, or activity for a certain public	literal	_	A training program in a depressed area may have few enrollees unless there is some apparent prospect for better employment opportunities afterwards , and the prospect may be poor if the training is [aimed] solely at jobs in the local community .	32
aim	aim%2:31:02::	specifically design a product, event, or activity for a certain public	literal	_	Our Office of Foreign and Domestic Commerce carries on a vigorous program , directly [aimed] at solving and expediting the problems of manufacturers in the lower employment categories .	13
aim	aim%2:31:00::	have an ambitious plan or a lofty goal	literal	_	`` We [aim] t ' be see-lective , y ' know ?	2
attack	*attack%2:32:00::	attack in speech or writing	metaphorical	0.4861111111111111	Alastor was published only to be savagely [attacked] , contemptuously ignored .	7
attack	*attack%2:32:00::	attack in speech or writing	metaphorical	0.4861111111111111	It was not even in writing Latin epigrams , sometimes bawdy ones , or in translating Lucian from Greek into Latin or in defending the study of Greek against the attack of conservative academics , or in [attacking] the conservative theologians who opposed Erasmus 's philological study of the New Testament .	37
attack	*attack%2:32:00::	attack in speech or writing	metaphorical	0.4861111111111111	In support of this , stories from the early literature are cited to show that Zen [attacks] the idea of supernatural power .	16
attack	*attack%2:32:00::	attack in speech or writing	metaphorical	0.4861111111111111	One Republican senator told this correspondent that he was constantly being asked why he did n't [attack] the Kennedy administration on this score .	16
attack	*attack%2:32:00::	attack in speech or writing	metaphorical	0.4861111111111111	His strong opposition to the transfer of Negro children to schools outside their own neighborhood , in the interest of integration , will be [attacked] by Negro leaders who have fought for , and achieved , this open or permissive enrollment .	24
attack	*attack%2:32:00::	attack in speech or writing	metaphorical	0.4861111111111111	Does it [attack] other traditional American institutions with unsupportable and wild charges ?	2
attack	*attack%2:32:00::	attack in speech or writing	metaphorical	0.4861111111111111	His manhood had been [attacked] .	4
attack	*attack%2:32:00::	attack in speech or writing	metaphorical	0.4861111111111111	Incurably optimistic , dogmatic , and utterly fearless , in his youth a devout Baptist , in spite of his friendship for the Quaker poet John Greenleaf Whittier ( 1807 - 1892 ) he eventually [attacked] the orthodox churches for what he deemed their cowardly compromising on the slavery issue and in his invariably ardent manner was emphatically unorthodox and denied the plenary inspiration of the Bible .	35
attack	*attack%2:32:00::	attack in speech or writing	metaphorical	0.4861111111111111	Mr. Eisenhower seized upon the incident of the postcard lost by a Peace Corps girl in Nigeria to [attack] the entire Corps as a `` juvenile experiment '' and to suggest sending a Corps member to the moon .	18
attack	attack%2:33:00::	launch an attack or assault on; begin hostilities or start warfare with	literal	_	He refused to change his approach , and instead he [attacked] high and low - the officials for their not backing him , and subordinates for their laxness , stupidity , and stubbornness .	10
attack	attack%2:33:00::	launch an attack or assault on; begin hostilities or start warfare with	literal	_	He recalled that in California after a critic had [attacked] him for `` still trying to sell Bruckner to the Americans '' , the public 's response at the next concert was a standing ovation .	9
attack	attack%2:33:01::	take the initiative and go on the offensive	literal	_	Tillotson had reported the man to Gansevoort and an hour later , with back turned , had been [attacked] by Wilson , brandishing the weapon .	18
attack	attack%2:33:00::	launch an attack or assault on; begin hostilities or start warfare with	literal	_	So great a man could not but understand , too , that the thing that moves men to sacrifice their lives is not the error of their thought , which their opponents see and [attack] , but the truth which the latter do not see - any more than they see the error which mars the truth they themselves defend .	34
attack	attack%2:33:00::	launch an attack or assault on; begin hostilities or start warfare with	literal	_	The West has no intention of [attacking] Russia .	6
attack	attack%2:33:00::	launch an attack or assault on; begin hostilities or start warfare with	literal	_	They could be used to [attack] a nation 's people ( which would inevitably mean the loss of the attacker 's own people ) , or they could be used with discrimination to destroy the enemy 's military force .	5
attack	attack%2:33:00::	launch an attack or assault on; begin hostilities or start warfare with	literal	_	`` While Henry Morgan was escorting Miss Vera Green from the church social last Saturday night , a savage dog [attacked] them and bit Mr. Morgan on the public square '' .	17
attack	attack%2:33:00::	launch an attack or assault on; begin hostilities or start warfare with	literal	_	He showed puny men [attacked] by splendidly tyrannical machines .	4
attack	attack%2:33:01::	take the initiative and go on the offensive	literal	_	Only a token start was made in [attacking] the tax reappraisal question and its companion issue of attracting industry to the state .	7
emerge	*emerge%2:30:01::	become known or apparent	metaphorical	0.35	Prokofieff might well [emerge] as a cultural hero , who , by the force of his creative life , helped preserve the main stream of tradition , to which the surviving idioms of current experimentalism may be eventually added and integrated .	3
emerge	*emerge%2:30:01::	become known or apparent	metaphorical	0.35	When these fields are surveyed together , important patterns of relationship [emerge] indicating a vast community of reciprocal influence , a continuity of thought and expression including many traditions , primarily literary , religious , and philosophical , but frequently including contact with the fine arts and even , to some extent , with science .	11
emerge	*emerge%2:30:01::	become known or apparent	metaphorical	0.35	Abraham Lincoln [emerged] as an incarnation of the national Constitution .	1
emerge	*emerge%2:30:01::	become known or apparent	metaphorical	0.35	But as conversation goes on , particularly among the realtors themselves , another image [emerges] , that of considerable power and influence in the community .	13
emerge	*emerge%2:30:01::	become known or apparent	metaphorical	0.35	One is not sure who [emerges] as the main personality of this book - Mijbil , with his rollicking ways , or Maxwell himself , poet , portrait painter , writer , journalist , traveller and zoologist , sensitive but never sentimental recorder of an unusual way of life , in a language at once lyrical and forceful , vivid and unabashed .	5
emerge	emerge%2:30:00::	come out into view, as from concealment	literal	_	With the neutralists maintaining pressure for one of their own to succeed Mr. Hammarskjold , U Thant [emerged] as the only possible candidate unlikely to be waylaid by a veto .	15
emerge	emerge%2:30:02::	come out of	literal	_	Moreover , her central figures are so busily fulfilling their multitudinous assignments that none [emerges] as an arresting individual in his own right or as a provocative symbol of mankind 's ills .	14
emerge	emerge%2:30:00::	come out into view, as from concealment	literal	_	The reality of spirit [emerges] in this play in spite of the author 's convictions to the contrary .	4
emerge	emerge%2:30:00::	come out into view, as from concealment	literal	_	From the rather tortuous history of electoral planning in Morocco an important point [emerges] concerning the first elections in a developing country and evaluating their results .	13
emerge	emerge%2:30:00::	come out into view, as from concealment	literal	_	This is the key fact [emerging] from Sunday 's national election .	5
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	Emerson - Platonist , idealist , doctrinaire - sounded a high Transcendental note in his `` Boston Hymn '' , delivered in 1863 in the Boston Music Hall amidst thundering applause : `` Pay ransom to the owner and [fill] the bag to the brim .	38
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	It was [filled] with dust and wind and sound and violence .	2
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	Walls of water rushed down the slopes and [filled] the hollows like the crests of flash floods .	8
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	She was deeply , horribly sure that Lucien had [filled] it with opium .	9
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	My great grandmother , I have been told , made her garden her great pride ; she cherished rare and delicate plants like oleanders in tubs and wall-flowers and lemon verbenas in pots that had to be wintered in the cellar ; she [filled] the waste spots of the yard with common things like the garden heliotrope in a corner by the woodshed , and the plantain lilies along the west side of the house .	42
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	There are three principal feed bunk types for dairy and beef cattle : ( 1 ) Fence-line bunks - cattle eat from one side while feed is put in from the opposite side of the fence by self unloading wagons ; ( 2 ) Mechanized bunks - they sit within the feed lot , are [filled] by a mechanical conveyor above feeding surface ; ( 3 ) Special bunks - as discussed here , they permit cattle to eat from all sides .	51
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	[Filling] these bunks by the same self unloading wagons used to fill silos spreads cost of the wagons over more time and operations .	0
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	Filling these bunks by the same self unloading wagons used to [fill] silos spreads cost of the wagons over more time and operations .	11
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	Solid blocks are recommended because hollow blocks would have to be [filled] with concrete to give effective protection .	11
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	The space between them is [filled] with pit-run gravel or earth .	5
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	So [filled] was Mel Chandler with the spirit of Garryowen that after Korea was over , he took on the job of writing the complete history of the regiment .	1
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	Gracias '' , I hollered , my first long swallow [filling] me with confidence and immediately doubling the size of my Spanish vocabulary .	10
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	By late afternoon the train inched into the marshaling yards in the railhead at Lublin , which was [filled] with lines of cars poised to pour the tools of war to the Russian front .	18
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	Eugene put a spoonful of powdered coffee into his cup and then [filled] it with hot water .	12
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	Harold put a teaspoonful of powdered coffee in his cup and [filled] it with hot water , and then , stirring , he sat back in his chair .	11
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	Some of these were obviously [filling] from interlobular branches of the bronchial arteries while others were filling from direct hilar branches following along the pleural surface .	5
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	Some of these were obviously filling from interlobular branches of the bronchial arteries while others were [filling] from direct hilar branches following along the pleural surface .	15
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	In criticism of the latter 's views , his conclusions were based upon dog lung injection studies in which all of the vascular channels were first [filled] with a solution under pressure and then were injected with various sized colored particles designed to stop at the arteriolar level .	26
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	Time plays an essential part in our mortality , and suddenly for no reason he could imagine ( or admit ) the image of Peg laughing [filled] his mind - so desirable , so lusty , so full of nuances of pleasure and joy .	26
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	She also builds one or two waxen cups which she [fills] with honey .	10
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	He finished with the team and [filled] his pipe and stood looking about him .	6
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	It was going to take a lot of activity to [fill] it .	10
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	For many nights afterward , the idea of her having been so close to me in that imagined bed would return and [fill] me with obscure and painful desires , would cause me to lie awake in shame , tossing with irresolution , longing to fall into a deep sleep .	21
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	She [filled] a big pitcher and set it , with glasses , on a tray .	1
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	* * f is the work necessary to [fill] the manometer column from the reference height to h .	8
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	Booby traps to [fill] the head with chunks of metal .	2
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	Jay Porter drew a base on balls to [fill] the bases but Don Wert 's smash was knocked down by Rudolph for the putout .	5
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	The difference is that the masters took the bare frame of a plot and [filled] it with their own world ; most modern adapters totally accept the world of a book , squeeze it dry of life , and add only one contribution of their own :	14
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	Choreographed by Mr. Nagrin , the work [filled] the second half of a program that also offered the first New York showing of Miss Tamiris ' `` Once Upon a Time '' , as well as her `` Women 's Song '' and Mr. Nagrin 's `` Indeterminate Figure '' .	7
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	This news , announced by Jerome Toobin , the orchestra 's administrative director , brought applause from the 2800 persons who [filled] the hall .	21
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	But though Kimpton put Chicago in what he felt was working order , some old grads feel that it still needs the kind of lively teachers who [filled] it in the heady Hutchins era .	27
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	[Fill] small hole in bowl with clay .	0
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	Vases may be made into candles by [filling] with melted wax and a wick .	7
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	Francesca and Herbert considered themselves violently nonconformist and showed the world they were by [filling] their Colonial house with contemporary furniture and paintings and other art objects ( expensive , but not necessarily valuable , contemporary things ) .	14
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	They were always leaping to light cigarettes , open car doors , [fill] plates or glasses , and I mistrusted the whole lot of them to the same degree that I mistrusted bake shops that called themselves `` Sanitary Bake Shops '' .	12
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	Each trip saw the front cockpit [filled] higher with mail pouches .	6
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	But to run the gauntlet of the programs Sam Rayburn brought into being through his legislative efforts would [fill] the pages of today 's Record .	18
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	Friday night the delegates heard the need for their forthcoming program , `` Breakthrough '' scheduled to [fill] the churches for the next two years .	17
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	As another Thanksgiving draws near , let us take time out from the often hectic pace of our lives to try and recapture the feelings that [filled] the hearts of the Pilgrims on the first Thanksgiving .	25
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	That is enough TNT to [fill] the tower of the Empire State Building ; and with the availability of bombs of that size , war became a new problem .	5
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	Then I calculated that a million peas would just about [fill] a household refrigerator ; a billion peas would fill a small house from cellar to attic ; a trillion peas would fill all the houses in a town of about ten thousand people ; and a quadrillion peas would fill all the buildings in the city of Philadelphia .	10
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	Then I calculated that a million peas would just about fill a household refrigerator ; a billion peas would [fill] a small house from cellar to attic ; a trillion peas would fill all the houses in a town of about ten thousand people ; and a quadrillion peas would fill all the buildings in the city of Philadelphia .	19
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	Then I calculated that a million peas would just about fill a household refrigerator ; a billion peas would fill a small house from cellar to attic ; a trillion peas would [fill] all the houses in a town of about ten thousand people ; and a quadrillion peas would fill all the buildings in the city of Philadelphia .	32
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	Then I calculated that a million peas would just about fill a household refrigerator ; a billion peas would fill a small house from cellar to attic ; a trillion peas would fill all the houses in a town of about ten thousand people ; and a quadrillion peas would [fill] all the buildings in the city of Philadelphia .	50
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	Then Little Billy began shouting orders to round up the ponies and [fill] the water buckets and for the cooks to hurry up with the meal .	11
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	They poured through the opening in the valley , then spread out in a long line to come at us , brandishing their lances and [filling] the morning with their spine-chilling scalp cry .	24
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	Couperin and Rameau gave titles to nearly everything they wrote , not in the later sense of `` program music '' but as a kind of nonmusical reference for the close , clear musical forms [filled] with keen wit and precise utterance .	35
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	It was `` window '' - the tinsel paper dropped by bombers to jam radar sets , to [fill] the scope with hundreds of blips that would seem to be approaching bombers .	18
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	The audience [filled] all the seats inside the Wollman enclosure and overflowed onto the lawns outside the fence .	2
fill	*fill%2:30:01::	make full, also in a metaphorical sense	metaphorical	0.7797619047619048	Lucius Beebe 's book , `` Mr. Pullman 's Elegant Palace Car '' , [fills] us with nostalgia , recalling days when private cars and Pullmans were extra wonderful , with fine woodwork , craftsmanship in construction , deep carpets and durable upholstery .	14
